3001;1001;4001;23/10/2024;
3002;1001;4001;23/10/2024;
3003;1001;4001;23/10/2024;
3004;1001;4001;23/10/2024;
3005;1001;4001;23/10/2024;
3006;1005;4001;23/10/2024;
3007;1004;4001;23/10/2024;
3008;1004;4001;23/10/2024;
3009;1001;4001;23/10/2024;
3010;1001;4001;23/10/2024;
3011;1001;4001;23/10/2024;
3012;1001;4001;23/10/2024;
3013;1001;4001;24/10/2024;
3014;1003;4001;24/10/2024;
3015;1003;4001;24/10/2024;
3016;1006;4001;24/10/2024;
3017;1014;4001;24/10/2024;
3018;1011;4001;24/10/2024;
3019;1012;4001;24/10/2024;
3020;1012;4001;24/10/2024;
3021;1002;4001;24/10/2024;
3022;1006;4001;24/10/2024;
3023;1005;4001;24/10/2024;
3024;1008;4001;24/10/2024;
3025;1009;4001;24/10/2024;
3026;1003;4001;24/10/2024;
3027;1003;4001;24/10/2024;
3028;1003;4001;24/10/2024;
3029;1013;4001;26/10/2024;
3030;1003;4001;26/10/2024;
3031;1009;4001;26/10/2024;
3032;1009;4001;26/10/2024;
3033;1009;4001;26/10/2024;
3034;1009;4001;26/10/2024;
3035;1009;4001;26/10/2024;
3036;1009;4001;26/10/2024;
3037;1009;4001;26/10/2024;
3038;1009;4001;26/10/2024;
3039;1001;4001;04/11/2024;
3040;1003;4001;04/11/2024;
3041;1006;4001;04/11/2024;
3042;1002;4001;04/11/2024;
3043;1012;4001;01/12/2024;
