3014;23;2003;327.0;
3014;26;2002;32.0;
3015;2001;23;32.0;
3015;2003;32;327.0;
3016;2;2001;32.0;
3016;2;2001;32.0;
3017;23;2002;32.0;
3018;2001;10;32.0;
3021;1000;2001;32.0;
3021;1000;2001;32.0;
3021;1000;2002;32.0;
3021;1000;2002;32.0;
3021;1000;2002;32.0;
3021;1000;2002;32.0;
3021;1000;2002;32.0;
3023;2001;19;32.0;
3023;2001;9;32.0;
3025;23;2001;32.0;
3027;2001;23;32.0;
3027;2001;5;32.0;
3027;2004;5;21.0;
3028;23;2001;32.0;
3029;2002;3;32.0;
3030;23;2001;32.0;
3030;2;2003;327.0;
3030;2;2002;32.0;
3031;2003;13;327.0;
3038;2002;2;32.0;
3039;3;2003;327.0;
3039;4;2003;327.0;
3040;2001;4;32.0;
3041;3;2003;327.0;
3041;3;2003;327.0;
3041;4;2003;327.0;
3041;6;2003;327.0;
3041;6;2003;327.0;
3042;2001;2;32.0;
3043;2;2002;32.0;
